Url,Status,Old Site,Old Site Unique, New Site, New Site Unique, Match
/Beverley_Spencer-Obatoyinbo,200,14,11,14,11,true
https://tobaccotactics.org/wiki/Digital-Coding-%26-Tracking-Association-(DCTA),404,0,0
/Cigarette_Companies_Investing_in_Snus,200,52,36,52,36,true
/Brian_Monteith,200,18,14,18,14,true
/Kenya-_Country_Profile,200,100,71,100,71,true
https://tobaccotactics.org/wiki/Category:Third-Party-Techniques,404,0,0
https://tobaccotactics.org/wiki/Category:Think-Tanks,404,0,0
/Snus:_EU_Ban_on_Snus_Sales,200,50,36,36,36,false
?title=Drago_Azinovic&amp;oldid=24065,200,6,3,0,0,false
/IEA,200,67,56,29,29,false
/BAT,200,60,51,17,9,false
/Mercury,200,27,19,20,20,false
https://tobaccotactics.org/wiki/Special:Search/Editor17,404,0,0
/Altria,200,81,58,90,66,false
https://tobaccotactics.org/wiki/Scottish-Grocers%27-Federation,404,0,0
/Foundation_for_a_Smoke-Free_World,200,107,83,148,118,false
/Futuro_Sin_Humo,200,11,9,11,9,true
https://tobaccotactics.org/wiki/Category:Leaked-Tobacco-Industry-Documents,404,0,0
/Uganda-_Country_Profile,200,36,31,36,31,true
/Shabanji_Opukah,200,5,5,5,5,true
/Yusuf_Abramjee,200,29,19,20,20,false
/Hiring_Independent_Experts,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Kenya--BAT%27s-Tactics-to-Undermine-the-Tobacco-Control-Regulations,404,0,0
/Mueen_Afzal,200,7,6,6,6,false
?title=Philip_Morris_International&amp;redirect=no,200,72,64,0,0,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Main_Page,404,0,0
/Ogilvy_Group,200,46,43,44,44,false
/Global_Tobacco_and_Nicotine_Forum_2019,200,3,3,3,3,true
https://tobaccotactics.org/wiki/Special:WhatLinksHere/Main-Page,404,0,0
/Swiss_Diplomats_Lobbying_for_PMI,200,21,10,10,10,false
/Revolving_Door,200,1,1,1,1,true
/Foundation_for_a_Smoke-Free_World_Centres_of_Excellence,200,61,37,68,41,false
https://tobaccotactics.org/wiki/Category:Lobby-Groups,404,0,0
?title=Main_Page&amp;action=history,200,0,0,0,0,true
/Trade_Associations,200,21,20,20,20,false
/Third_Party_Techniques,200,9,9,9,9,true
/Global_Forum_on_Nicotine,200,48,33,68,49,false
/Property_Rights_Alliance,200,41,37,37,37,false
/Riccardo_Polosa,200,57,40,40,40,false
https://tobaccotactics.org/wiki/Main-Page,404,0,0
https://tobaccotactics.org/wiki/TobaccoTactics:General-disclaimer,404,0,0
/RJ_Reynolds,200,8,7,7,7,false
/Eddy_Abdurrachman,200,6,4,6,4,true
https://tobaccotactics.org/wiki/TobaccoTactics:Privacy-policy,404,0,0
https://tobaccotactics.org/wiki/The-TaxPayers%27-Alliance,404,0,0
/General_Disclaimer,200,0,0,0,0,true
/Forest,200,51,47,47,47,false
?title=Main_Page&amp;action=edit,200,0,0,0,0,true
?title=Main_Page&amp;printable=yes,200,0,0,0,0,true
https://tobaccotactics.org/wiki/TobaccoTactics:About,404,0,0
/European_Cigar_Manufacturers_Association,200,30,27,26,26,false
?title=Main_Page&amp;oldid=24067,200,0,0,0,0,true
/The_Freedom_Association,200,11,11,11,11,true
/All-Party_Parliamentary_Group_(APPG)_for_Vaping_(E-Cigarettes),200,58,43,58,43,true
/Tobacco_Smuggling,200,40,28,38,28,false
/McKinsey,200,43,41,43,41,true
?title=Category:Japan_Tobacco_International&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
/Special:WhatLinksHere/Alison_Cooper,200,0,0,12,11,false
https://tobaccotactics.org/wiki/Special:Log/Editor17,404,0,0
?title=Crime_Stoppers_International&amp;action=history,200,17,14,0,0,false
/E-Cigarettes:_Marketing_Blu,200,11,7,7,7,false
https://tobaccotactics.org/wiki/Special:SpecialPages,404,0,0
http://178.128.58.116/index.php/Special:RecentChangesLinked/Crime_Stoppers_International,404,0,0
?title=E-Cigarettes:_Lorillard&amp;oldid=23904,200,7,5,0,0,false
https://tobaccotactics.org/wiki/Category:E-Cigarettes,404,0,0
/Snus:_Marketing_to_Youth,200,15,14,14,14,false
/EU_Tobacco_Products_Directive_Revision,200,44,27,27,27,false
?title=Main_Page&amp;action=info,200,0,0,0,0,true
?title=Tobacco_Workers%E2%80%99_Alliance&amp;action=history,200,17,12,0,0,false
?title=Arthur_van_Benthem&amp;action=history,200,4,3,0,0,false
?title=Alison_Cooper&amp;printable=yes,200,12,11,0,0,false
?title=Crime_Stoppers_International&amp;printable=yes,200,17,14,0,0,false
https://tobaccotactics.org/wiki/Category:Tobacco-Industry-People,404,0,0
?title=Category:Philippines&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
?title=Tobacco_Workers%E2%80%99_Alliance&amp;action=edit,200,17,12,0,0,false
http://178.128.58.116/index.php?title=Talk:Arthur_van_Benthem&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/PMI%E2%80%99s-%E2%80%9CIllicit-Trade%E2%80%9D-Anti-Plain-Packaging-Campaign,404,0,0
https://tobaccotactics.org/wiki/Category:EU,404,0,0
/UK_Vaping_Industry_Association_(UKVIA),200,87,54,61,61,false
/Motorsport_Sponsorship,200,105,75,105,75,true
?title=Alison_Cooper&amp;action=edit,200,12,11,0,0,false
?title=Imperial&amp;redirect=no,200,102,87,0,0,false
/International_Tax_and_Investment_Center,200,71,53,71,53,true
?title=Kangaroo_Group&amp;action=edit,200,11,9,0,0,false
?title=E-Cigarettes:_Imperial%27s_Blu&amp;oldid=23899,200,16,13,0,0,false
?title=Alison_Cooper&amp;action=history,200,12,11,0,0,false
?title=Kangaroo_Group&amp;oldid=23479,200,11,9,0,0,false
?title=Alison_Cooper&amp;oldid=23201,200,12,11,0,0,false
?title=Category:Philip_Morris_International&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
http://178.128.58.116/index.php?title=Talk:Crime_Stoppers_International&amp;action=edit&amp;redlink=1,404,0,0
/History_of_Plain_Packaging:_Developing_the_Intellectual_Property_Argument,200,13,12,13,12,true
/E-Cigarettes:_Altria,200,36,25,33,26,false
?title=Arthur_van_Benthem&amp;action=edit,200,4,3,0,0,false
https://tobaccotactics.org/wiki/Category:Arguments-and-Language,404,0,0
?title=Crime_Stoppers_International&amp;action=info,200,17,14,0,0,false
/Special:WhatLinksHere/Arthur_van_Benthem,200,0,0,4,3,false
?title=Category:South_Africa&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
http://178.128.58.116/index.php?title=Istvan_Komoroczki&amp;action=edit&amp;redlink=1,404,0,0
/Arthur_Butler,200,5,5,5,5,true
/Nick_Gibbon,200,3,3,3,3,true
/Othmar_Karas,200,6,6,6,6,true
/TPD:_Tobacco_Control_Measures,200,1,1,1,1,true
/Special:WhatLinksHere/Crime_Stoppers_International,200,0,0,14,14,false
/Blue_Star_Strategies,200,7,7,7,7,true
?title=Arthur_van_Benthem&amp;oldid=24018,200,4,3,0,0,false
http://178.128.58.116/index.php?title=Talk:Tobacco_Workers%E2%80%99_Alliance&amp;action=edit&amp;redlink=1,404,0,0
http://178.128.58.116/index.php?title=Talk:Kangaroo_Group&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/E-Cigarettes:-BAT%27s-Vype-and-Vuse,404,0,0
http://178.128.58.116/index.php?title=Talk:Main_Page&amp;action=edit&amp;redlink=1,404,0,0
?title=Category:Latin_America_and_Caribbean&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
/Tobacco_Advisory_Council,200,13,12,12,12,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Alison_Cooper,404,0,0
?title=Alison_Cooper&amp;action=info,200,12,11,0,0,false
?title=Crime_Stoppers_International&amp;action=edit,200,17,14,0,0,false
http://178.128.58.116/index.php?title=Talk:Alison_Cooper&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/Category:UK,404,0,0
?title=Category:Consultancies&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Special:WhatLinksHere/User-talk:Editor17,404,0,0
/Tim_Haigh,200,27,24,27,24,true
https://tobaccotactics.org/wiki/Category:Transnational-Lobby-Networks,404,0,0
https://tobaccotactics.org/wiki/Special:UserRights/Editor17,404,0,0
https://tobaccotactics.org/wiki/User-talk:Editor17,404,0,0
/ASI:_History_of_Close_Ties_with_the_Tobacco_Industry,200,15,15,15,15,true
?title=Special:Log&amp;page=User_talk:Editor17,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Special:WantedCategories,404,0,0
https://tobaccotactics.org/wiki/Special:Contributions/Editor17,404,0,0
http://178.128.58.116/index.php?title=Talk:E-Cigarettes:_Lorillard&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/Category:Front-Groups,404,0,0
/Tobacco_Control_Research_Group:_Evidence_on_Plain_Packaging,200,30,15,16,16,false
https://tobaccotactics.org/wiki/Special:Contributions/Editor15,404,0,0
https://tobaccotactics.org/wiki/Libertarians,404,0,0
?title=Category:British_American_Tobacco&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
https://tobaccotactics.org/wiki/International-Labour-Organisation,404,0,0
/PMI_Mobilised_Support_from_Retailers,200,26,17,18,18,false
https://tobaccotactics.org/wiki/UST,404,0,0
/Roberto_Funari,200,1,1,1,1,true
/Plain_Packaging_in_the_UK,200,41,38,37,37,false
?title=Sir_David_Nicolson&amp;oldid=22428,200,2,2,0,0,false
?title=Next_Generation_Products:_Imperial_Tobacco&amp;oldid=23382,200,31,24,0,0,false
/Hiroshi_Kimura,200,10,9,10,9,true
http://178.128.58.116/index.php?title=Talk:Roberto_Ascoli&amp;action=edit&amp;redlink=1,404,0,0
/Countering_Industry_Arguments_against_Plain_Packaging,200,0,0,0,0,true
http://178.128.58.116/index.php?title=Talk:EFFAT&amp;action=edit&amp;redlink=1,404,0,0
/Robert_Dyrbus,200,2,2,1,1,false
?title=Chile-Country_Profile&amp;oldid=23291,200,41,36,0,0,false
?title=Roberto_Ascoli&amp;action=history,200,2,1,0,0,false
/Nigel_Adams,200,7,6,6,6,false
/Tobacco_Retailers_Alliance,200,18,16,18,17,true
/Michael_Herlihy,200,1,1,1,1,true
?title=Arthur_van_Benthem&amp;printable=yes,200,4,3,0,0,false
?title=Mark_Williamson&amp;oldid=23336,200,4,4,0,0,false
?title=Kangaroo_Group&amp;action=history,200,11,9,0,0,false
http://178.128.58.116/index.php?title=Sovereign_Strategy&amp;action=edit&amp;redlink=1,404,0,0
/Product_Innovation,200,12,11,10,10,false
/Andre_Calantzopoulos,200,6,6,5,5,false
/Jacek_Olczak,200,3,3,3,3,true
/Global_Tobacco_and_Nicotine_Forum_2015,200,2,1,1,1,false
?title=UNITAB&amp;oldid=23944,200,38,26,0,0,false
?title=EFFAT&amp;oldid=23545,200,38,20,0,0,false
/Bertrand_Bonvin,200,5,4,6,5,false
https://tobaccotactics.org/wiki/PMI%E2%80%99s-Lobbying-Campaign-to-Undermine-the-TPD,404,0,0
/Tobacco_Industry_Arguments_Against_Taxation,200,25,20,20,20,false
/Patrick_Brunel,200,3,1,1,1,false
?title=American_European_Community_Association&amp;oldid=23207,200,28,27,0,0,false
?title=Tobacco_Workers%E2%80%99_Alliance&amp;printable=yes,200,17,12,0,0,false
/Christopher_Snowdon,200,57,51,57,51,true
?title=Carlo_Sacchetto&amp;oldid=23862,200,5,5,0,0,false
/Martin_Cullip,200,48,43,44,44,false
/Matthew_Phillips,200,3,3,3,3,true
/Kevin_Freudenthal,200,3,2,2,2,false
http://178.128.58.116/index.php?title=Talk:Sir_David_Nicolson&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/Category:Product-Innovation,404,0,0
/Iain_Napier,200,2,2,2,2,true
/International_Labour_Organization_(ILO),200,43,28,43,28,true
/Global_Tobacco_and_Nicotine_Forum_2017,200,4,3,3,3,false
/Shane_Frith,200,8,8,8,8,true
?title=Fetratab&amp;oldid=23588,200,29,17,0,0,false
/E-cigarettes:_Industry_Timeline,200,0,0,0,0,true
?title=Gareth_Davis&amp;oldid=23810,200,9,9,0,0,false
/David_Haines,200,2,2,2,2,true
?title=Tobacco_Workers%E2%80%99_Alliance&amp;oldid=23760,200,17,12,0,0,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Arthur_van_Benthem,404,0,0
/Display_Ban,200,8,8,8,8,true
?title=Tobacco_Workers%E2%80%99_Alliance&amp;action=info,200,17,12,0,0,false
https://tobaccotactics.org/wiki/PMI%27s-Anti-Plain-Packaging-Lobbying-Campaign,404,0,0
https://tobaccotactics.org/wiki/Category:Legal-Strategy,404,0,0
https://tobaccotactics.org/wiki/Special:WhatLinksHere/Tobacco-Workers%E2%80%99-Alliance,404,0,0
/Codentify,200,65,37,63,38,false
/PMI,200,72,64,50,50,false
http://178.128.58.116/index.php?title=Talk:Michael_Prideaux&amp;action=edit&amp;redlink=1,404,0,0
/Australia:_Challenging_Legislation,200,28,19,28,19,true
https://tobaccotactics.org/wiki/Special:Contributions/Editor4,404,0,0
?title=National_Federation_of_Retail_Newsagents&amp;redirect=no,200,22,20,0,0,false
/Duke_University_and_the_Tobacco_Industry,200,23,22,22,22,false
/CSR_Strategy,200,16,15,24,20,false
?title=Gallaher&amp;oldid=23807,200,2,2,0,0,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Transport_and_General_Workers_Union,404,0,0
/Louis_C._Camilleri,200,11,7,7,7,false
/Liberal_Vision,200,11,11,11,11,true
?title=Sir_David_Nicolson&amp;printable=yes,200,2,2,0,0,false
?title=Sir_David_Nicolson&amp;action=history,200,2,2,0,0,false
/Special:WhatLinksHere/Sir_David_Nicolson,200,0,0,2,2,false
/David_Bernick,200,2,2,2,2,true
/Deloitte,200,37,32,31,31,false
https://tobaccotactics.org/wiki/Category:Challenging-Legislation,404,0,0
/Federation_of_Independent_Retailers_(NFRN),200,22,20,22,20,true
?title=Special:Categories&amp;dir=prev,200,0,0,0,0,true
/Influencing_Science,200,0,0,6,4,false
/Special:WhatLinksHere/Transport_and_General_Workers_Union,200,0,0,6,5,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Gallaher,404,0,0
?title=Fontem_Ventures&amp;action=history,200,14,13,0,0,false
/E-cigarettes:_At_The_Pharmacy,200,10,5,10,5,true
/Special:WhatLinksHere/Fontem_Ventures,200,0,0,14,13,false
http://178.128.58.116/index.php?title=Talk:Gallaher&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/CECCM,404,0,0
/Global_Tobacco_Networking_Forum_2013,200,1,1,1,1,true
?title=File:E-lites_June2014.JPG&amp;action=history,200,0,0,0,0,true
/E-cigarettes:_Mixing_Research_and_Marketing,200,3,2,3,2,true
/Tobacco_Industry_Platform,200,5,5,5,5,true
/Plain_Packaging_in_the_UK:_Second_Consultation,200,47,39,39,39,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Fontem_Ventures,404,0,0
?title=Gallaher&amp;printable=yes,200,2,2,0,0,false
/Michiel_Reerink,200,12,8,12,8,true
?title=Special:Categories&amp;offset=Climate,200,0,0,0,0,true
/The_Plain_Pack_Group,200,29,25,29,25,true
http://178.128.58.116/index.php?title=Talk:Transport_and_General_Workers_Union&amp;action=edit&amp;redlink=1,404,0,0
/Harold_Brown,200,4,3,3,3,false
/Global_Tobacco_Networking_Forum_2012,200,3,3,1,1,false
?title=File:E-lites_June2014.JPG&amp;action=info,200,0,0,0,0,true
/Letter_to_the_Editor,200,1,1,1,1,true
/Global_Tobacco_Networking_Forum_2014,200,3,1,3,3,true
